date,airline,flight,departure_airport,arrival_airport,departure_time,arrival_time,duration,type,Cabin,price
2025-05-17,中国国际航空,CA1883,北京首都国际机场(PEK),上海浦东国际机场(PVG),下午8:30,下午10:40,2小时10分钟,直达,经济舱,520
2025-05-17,中国东方航空,MU5164,北京首都国际机场(PEK),上海浦东国际机场(PVG),下午8:05,下午10:30,2小时25分钟,直达,经济舱,570
2025-05-17,山东航空,SC5406,北京首都国际机场(PEK),上海浦东国际机场(PVG),下午8:30,下午10:40,2小时10分钟,直达,经济舱,970
2025-05-17,吉祥航空,HO5540,北京首都国际机场(PEK),上海浦东国际机场(PVG),下午8:05,下午10:30,2小时25分钟,直达,经济舱,1150
2025-05-17,厦门航空,MF3575,北京首都国际机场(PEK),上海浦东国际机场(PVG),下午8:05,下午10:30,2小时25分钟,直达,经济舱,1170
2025-05-17,海南航空,HU7815,北京首都国际机场(PEK),广州白云国际机场(CAN),下午8:30,下午11:55,3小时25分钟,直达,经济舱,1720
2025-05-17,海南航空,HU7813,北京首都国际机场(PEK),广州白云国际机场(CAN),下午7:30,下午10:50,3小时20分钟,直达,经济舱,1910
2025-05-17,中国国际航空,CA1385,北京首都国际机场(PEK),广州白云国际机场(CAN),下午8:05,下午11:15,3小时10分钟,直达,经济舱,2500
2025-05-17,深圳航空,ZH1385,北京首都国际机场(PEK),广州白云国际机场(CAN),下午8:05,下午11:15,3小时10分钟,直达,经济舱,2560
2025-05-17,深圳航空,ZH1379,北京首都国际机场(PEK),广州白云国际机场(CAN),下午7:00,下午10:20,3小时20分钟,直达,经济舱,2560
2025-05-17,海南航空,HU7713,北京首都国际机场(PEK),深圳宝安国际机场(SZX),下午9:10,上午12:35,3小时25分钟,直达,经济舱,1120
2025-05-17,海南航空,HU7715,北京首都国际机场(PEK),深圳宝安国际机场(SZX),下午9:30,上午1:00,3小时30分钟,直达,经济舱,1120
2025-05-17,中国国际航空,CA1307,北京首都国际机场(PEK),深圳宝安国际机场(SZX),下午8:15,下午11:25,3小时10分钟,直达,经济舱,1270
2025-05-17,深圳航空,ZH9110,北京首都国际机场(PEK),深圳宝安国际机场(SZX),下午9:00,上午12:35,3小时35分钟,直达,经济舱,1270
2025-05-17,海南航空,HU7709,北京首都国际机场(PEK),深圳宝安国际机场(SZX),下午3:30,下午6:55,3小时25分钟,直达,经济舱,1370
2025-05-17,深圳航空,ZH9106,北京首都国际机场(PEK),深圳宝安国际机场(SZX),下午5:00,下午8:35,3小时35分钟,直达,经济舱,1400
2025-05-17,中国国际航空,CA1305,北京首都国际机场(PEK),深圳宝安国际机场(SZX),下午6:00,下午9:35,3小时35分钟,直达,经济舱,1400
