date,airline,flight,departure_airport,arrival_airport,departure_time,arrival_time,duration,type,Cabin,price
2025-05-19,FuzhouAir,FU7129,北京首都国际机场(PEK),哈尔滨太平国际机场(HRB),下午11:05,上午1:05,未知飞行时间分钟,直达,经济舱,840
2025-05-19,海南航空,HU7129,北京首都国际机场(PEK),哈尔滨太平国际机场(HRB),下午11:05,上午1:05,未知飞行时间分钟,直达,经济舱,840
2025-05-19,深圳航空,ZH1639,北京首都国际机场(PEK),哈尔滨太平国际机场(HRB),下午8:20,下午10:10,1小时50分钟,直达,经济舱,1080
2025-05-19,山东航空,SC5093,北京首都国际机场(PEK),哈尔滨太平国际机场(HRB),下午8:20,下午10:10,1小时50分钟,直达,经济舱,1080
2025-05-19,中国国际航空,CA1639,北京首都国际机场(PEK),哈尔滨太平国际机场(HRB),下午8:20,下午10:10,1小时50分钟,直达,经济舱,1080
2025-05-19,深圳航空,ZH1641,北京首都国际机场(PEK),哈尔滨太平国际机场(HRB),下午7:20,下午9:15,1小时55分钟,直达,经济舱,1080
2025-05-19,山东航空,SC5095,北京首都国际机场(PEK),哈尔滨太平国际机场(HRB),下午7:20,下午9:15,1小时55分钟,直达,经济舱,1080
2025-05-19,中国国际航空,CA1641,北京首都国际机场(PEK),哈尔滨太平国际机场(HRB),下午7:20,下午9:15,1小时55分钟,直达,经济舱,1080
2025-05-19,深圳航空,ZH1611,北京首都国际机场(PEK),哈尔滨太平国际机场(HRB),下午5:30,下午7:30,未知飞行时间分钟,直达,经济舱,1770
2025-05-19,山东航空,SC5087,北京首都国际机场(PEK),哈尔滨太平国际机场(HRB),下午5:30,下午7:30,未知飞行时间分钟,直达,经济舱,1770
2025-05-19,中国国际航空,CA1611,北京首都国际机场(PEK),哈尔滨太平国际机场(HRB),下午5:30,下午7:30,未知飞行时间分钟,直达,经济舱,1770
2025-05-19,深圳航空,ZH1623,北京首都国际机场(PEK),哈尔滨太平国际机场(HRB),下午12:15,下午2:10,1小时55分钟,直达,经济舱,1940
2025-05-19,山东航空,SC5746,北京首都国际机场(PEK),哈尔滨太平国际机场(HRB),下午12:15,下午2:10,1小时55分钟,直达,经济舱,1940
2025-05-19,中国国际航空,CA1623,北京首都国际机场(PEK),哈尔滨太平国际机场(HRB),下午12:15,下午2:10,1小时55分钟,直达,经济舱,1940
2025-05-19,山东航空,SC5406,北京首都国际机场(PEK),上海浦东国际机场(PVG),下午8:30,下午10:50,2小时20分钟,直达,经济舱,850
2025-05-19,中国国际航空,CA1883,北京首都国际机场(PEK),上海浦东国际机场(PVG),下午8:30,下午10:50,2小时20分钟,直达,经济舱,850
2025-05-19,中国东方航空,MU5164,北京首都国际机场(PEK),上海浦东国际机场(PVG),下午7:30,下午9:55,2小时25分钟,直达,经济舱,1330
