date,airline,flight,departure_airport,arrival_airport,departure_time,arrival_time,duration,type,Cabin,price
2025-05-20,深圳航空,ZH1145,北京首都国际机场(PEK),太原武宿国际机场(TYN),上午7:00,上午8:15,1小时15分钟,直达,经济舱,740
2025-05-20,昆明航空,KY1145,北京首都国际机场(PEK),太原武宿国际机场(TYN),上午7:00,上午8:15,1小时15分钟,直达,经济舱,740
2025-05-20,华夏航空,G58139,北京首都国际机场(PEK),太原武宿国际机场(TYN),上午7:00,上午8:15,1小时15分钟,直达,经济舱,740
2025-05-20,中国国际航空,CA1145,北京首都国际机场(PEK),太原武宿国际机场(TYN),上午7:00,上午8:15,1小时15分钟,直达,经济舱,740
2025-05-20,深圳航空,ZH1111,北京首都国际机场(PEK),呼和浩特白塔国际机场(HET),上午7:00,上午8:15,1小时15分钟,直达,经济舱,1090
2025-05-20,中国国际航空,CA1111,北京首都国际机场(PEK),呼和浩特白塔国际机场(HET),上午7:00,上午8:15,1小时15分钟,直达,经济舱,1090
2025-05-20,海南航空,HU7129,北京首都国际机场(PEK),哈尔滨太平国际机场(HRB),下午11:05,上午1:05,未知飞行时间分钟,直达,经济舱,710
2025-05-20,大新华航空,CN7139,北京首都国际机场(PEK),哈尔滨太平国际机场(HRB),上午6:55,上午8:55,未知飞行时间分钟,直达,经济舱,760
2025-05-20,海南航空,HU7139,北京首都国际机场(PEK),哈尔滨太平国际机场(HRB),上午6:55,上午8:55,未知飞行时间分钟,直达,经济舱,840
2025-05-20,FuzhouAir,FU7129,北京首都国际机场(PEK),哈尔滨太平国际机场(HRB),下午11:05,上午1:05,未知飞行时间分钟,直达,经济舱,840
2025-05-20,中国国际航空,CA1641,北京首都国际机场(PEK),哈尔滨太平国际机场(HRB),下午7:15,下午9:15,未知飞行时间分钟,直达,经济舱,910
2025-05-20,中国国际航空,CA1621,北京首都国际机场(PEK),哈尔滨太平国际机场(HRB),上午6:45,上午8:45,未知飞行时间分钟,直达,经济舱,960
2025-05-20,深圳航空,ZH1639,北京首都国际机场(PEK),哈尔滨太平国际机场(HRB),下午8:20,下午10:10,1小时50分钟,直达,经济舱,990
2025-05-20,山东航空,SC5093,北京首都国际机场(PEK),哈尔滨太平国际机场(HRB),下午8:20,下午10:10,1小时50分钟,直达,经济舱,990
2025-05-20,中国国际航空,CA1639,北京首都国际机场(PEK),哈尔滨太平国际机场(HRB),下午8:20,下午10:10,1小时50分钟,直达,经济舱,990
2025-05-20,深圳航空,ZH1641,北京首都国际机场(PEK),哈尔滨太平国际机场(HRB),下午7:15,下午9:15,未知飞行时间分钟,直达,经济舱,990
2025-05-20,山东航空,SC5095,北京首都国际机场(PEK),哈尔滨太平国际机场(HRB),下午7:15,下午9:15,未知飞行时间分钟,直达,经济舱,990
2025-05-20,深圳航空,ZH1621,北京首都国际机场(PEK),哈尔滨太平国际机场(HRB),上午6:45,上午8:45,未知飞行时间分钟,直达,经济舱,1080
2025-05-20,山东航空,SC5091,北京首都国际机场(PEK),哈尔滨太平国际机场(HRB),上午6:45,上午8:45,未知飞行时间分钟,直达,经济舱,1080
2025-05-20,深圳航空,ZH1611,北京首都国际机场(PEK),哈尔滨太平国际机场(HRB),下午5:45,下午7:30,1小时45分钟,直达,经济舱,1270
2025-05-20,山东航空,SC5087,北京首都国际机场(PEK),哈尔滨太平国际机场(HRB),下午5:45,下午7:30,1小时45分钟,直达,经济舱,1270
2025-05-20,中国国际航空,CA1611,北京首都国际机场(PEK),哈尔滨太平国际机场(HRB),下午5:45,下午7:30,1小时45分钟,直达,经济舱,1270
2025-05-20,深圳航空,ZH1689,北京首都国际机场(PEK),哈尔滨太平国际机场(HRB),上午7:15,上午9:15,未知飞行时间分钟,直达,经济舱,1270
2025-05-20,山东航空,SC5105,北京首都国际机场(PEK),哈尔滨太平国际机场(HRB),上午7:15,上午9:15,未知飞行时间分钟,直达,经济舱,1270
2025-05-20,中国国际航空,CA1689,北京首都国际机场(PEK),哈尔滨太平国际机场(HRB),上午7:15,上午9:15,未知飞行时间分钟,直达,经济舱,1270
