date,airline,flight,departure_airport,arrival_airport,departure_time,arrival_time,duration,type,Cabin,price
2025-05-21,深圳航空,ZH1145,北京首都国际机场(PEK),太原武宿国际机场(TYN),上午7:00,上午8:15,1小时15分钟,直达,经济舱,740
2025-05-21,昆明航空,KY1145,北京首都国际机场(PEK),太原武宿国际机场(TYN),上午7:00,上午8:15,1小时15分钟,直达,经济舱,740
2025-05-21,华夏航空,G58139,北京首都国际机场(PEK),太原武宿国际机场(TYN),上午7:00,上午8:15,1小时15分钟,直达,经济舱,740
2025-05-21,中国国际航空,CA1145,北京首都国际机场(PEK),太原武宿国际机场(TYN),上午7:00,上午8:15,1小时15分钟,直达,经济舱,740
2025-05-21,深圳航空,ZH1111,北京首都国际机场(PEK),呼和浩特白塔国际机场(HET),下午4:00,下午5:20,1小时20分钟,直达,经济舱,690
2025-05-21,中国国际航空,CA1111,北京首都国际机场(PEK),呼和浩特白塔国际机场(HET),下午4:00,下午5:20,1小时20分钟,直达,经济舱,690
2025-05-21,FuzhouAir,FU7129,北京首都国际机场(PEK),哈尔滨太平国际机场(HRB),下午10:10,上午12:10,未知飞行时间分钟,直达,经济舱,840
2025-05-21,海南航空,HU7129,北京首都国际机场(PEK),哈尔滨太平国际机场(HRB),下午10:10,上午12:10,未知飞行时间分钟,直达,经济舱,840
2025-05-21,中国国际航空,CA1621,北京首都国际机场(PEK),哈尔滨太平国际机场(HRB),上午6:45,上午8:45,未知飞行时间分钟,直达,经济舱,960
2025-05-21,深圳航空,ZH1621,北京首都国际机场(PEK),哈尔滨太平国际机场(HRB),上午6:45,上午8:45,未知飞行时间分钟,直达,经济舱,1080
2025-05-21,山东航空,SC5091,北京首都国际机场(PEK),哈尔滨太平国际机场(HRB),上午6:45,上午8:45,未知飞行时间分钟,直达,经济舱,1080
2025-05-21,深圳航空,ZH1639,北京首都国际机场(PEK),哈尔滨太平国际机场(HRB),下午8:20,下午10:10,1小时50分钟,直达,经济舱,1270
2025-05-21,山东航空,SC5093,北京首都国际机场(PEK),哈尔滨太平国际机场(HRB),下午8:20,下午10:10,1小时50分钟,直达,经济舱,1270
2025-05-21,中国国际航空,CA1639,北京首都国际机场(PEK),哈尔滨太平国际机场(HRB),下午8:20,下午10:10,1小时50分钟,直达,经济舱,1270
2025-05-21,深圳航空,ZH1641,北京首都国际机场(PEK),哈尔滨太平国际机场(HRB),下午7:15,下午9:15,未知飞行时间分钟,直达,经济舱,1270
2025-05-21,山东航空,SC5095,北京首都国际机场(PEK),哈尔滨太平国际机场(HRB),下午7:15,下午9:15,未知飞行时间分钟,直达,经济舱,1270
2025-05-21,山东航空,SC5406,北京首都国际机场(PEK),上海浦东国际机场(PVG),下午8:30,下午10:50,2小时20分钟,直达,经济舱,850
2025-05-21,中国国际航空,CA1883,北京首都国际机场(PEK),上海浦东国际机场(PVG),下午8:30,下午10:50,2小时20分钟,直达,经济舱,850
2025-05-21,扬子江航空官网,Y87613,北京首都国际机场(PEK),上海浦东国际机场(PVG),上午7:30,上午10:00,2小时30分钟,直达,经济舱,970
2025-05-21,海南航空,HU7613,北京首都国际机场(PEK),上海浦东国际机场(PVG),上午7:30,上午10:00,2小时30分钟,直达,经济舱,970
2025-05-21,中国东方航空,MU5100,北京首都国际机场(PEK),上海浦东国际机场(PVG),上午7:00,上午9:20,2小时20分钟,直达,经济舱,1150
2025-05-21,山东航空,SC5416,北京首都国际机场(PEK),上海浦东国际机场(PVG),上午7:40,上午10:15,2小时35分钟,直达,经济舱,1150
2025-05-21,中国国际航空,CA1835,北京首都国际机场(PEK),上海浦东国际机场(PVG),上午7:40,上午10:15,2小时35分钟,直达,经济舱,1150
2025-05-21,厦门航空,MF3517,北京首都国际机场(PEK),上海浦东国际机场(PVG),上午7:00,上午9:20,2小时20分钟,直达,经济舱,1270
2025-05-21,中国东方航空,MU5164,北京首都国际机场(PEK),上海浦东国际机场(PVG),下午7:30,下午9:55,2小时25分钟,直达,经济舱,1870
2025-05-21,厦门航空,MF3575,北京首都国际机场(PEK),上海浦东国际机场(PVG),下午7:30,下午9:55,2小时25分钟,直达,经济舱,1900
2025-05-21,吉祥航空,HO5540,北京首都国际机场(PEK),上海浦东国际机场(PVG),下午7:30,下午9:55,2小时25分钟,直达,经济舱,1900
